onset	onset_tone	duration	duration_getsecs	offset_trial	offset_sound	offset_sound_getsecs	onset_iti	onset_iti_getsecs	offset_iti	offset_iti_getsecs	ITI	rt_getsecs_trial	rt_getsecs_dev	rt_slider_getsecs	tau_std	frequency	lim_std	lim_dev	key_pressed	correct	confidence	rule	dpos	trial_type	is_catch_n_minus_one	catch_key	catch_correct	catch_rt	runs	trial_no
484366.234280833	484366.234280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	630.74	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484366.984280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	632.45	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484367.734280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	627.54	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484368.484280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	627.48	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484369.234280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	633.11	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484369.984280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	634.88	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484370.734280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	634.66	-0.6	-0.4999		4	5	2	0	0	0				0	0
484366.234280833	484371.484280833	5.35	5.349405834043864	484377.584793291	484371.58428083296	484371.583686667	484371.58428083296	484371.597640625	484377.58428083296	484377.58518425	6			0.525883500056807	40	628.31	-0.6	-0.4999		4	5	2	0	0	0				0	0
484377.59104325	484377.59104325	5.35	5.344852167007048	484388.940993291	484382.94104325	484382.935895417	484382.94104325	484382.947671709	484388.94104325	484388.947556459	6				40	627.95	-0.6	-0.4999		3		1	4	0	0				0	1
484377.59104325	484378.34104325	5.35	5.344852167007048	484388.940993291	484382.94104325	484382.935895417	484382.94104325	484382.947671709	484388.94104325	484388.947556459	6				40	624.95	-0.6	-0.4999		3		1	4	0	0				0	1
