observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,noise_w_std_t_minus_one,noise_w_dev_t_minus_one,ITI,duration_tones,ISI,trial_n,run,run_n
717.7772,712.4449,755.1340,700,750,16,2,0,3,0,10,10,5.3323,,,6.0000,0.1000,0.6500,0,,0
701.8081,710.1849,755.1340,700,750,16,2,0,3,0,10,10,-8.3768,-1.4822,,6.0000,0.1000,0.6500,0,,0
699.6512,690.6489,755.1340,700,750,16,2,0,3,0,10,10,9.0023,-18.8995,,6.0000,0.1000,0.6500,0,,0
751.2259,681.6785,755.1340,700,750,16,2,0,3,1,10,10,-3.9081,-9.5548,,6.0000,0.1000,0.6500,0,,0
682.3578,698.4077,755.1340,700,750,16,2,0,3,0,10,10,-16.0499,15.5841,,6.0000,0.1000,0.6500,0,,0
687.7237,696.1376,755.1340,700,750,16,2,0,3,0,10,10,-8.4139,-2.3696,,6.0000,0.1000,0.6500,0,,0
711.5077,703.9293,755.1340,700,750,16,2,0,3,0,10,10,7.5784,7.5503,,6.0000,0.1000,0.6500,0,,0
657.8001,677.4093,755.1340,700,750,16,2,0,3,0,10,10,-19.6092,-26.2744,,6.0000,0.1000,0.6500,0,,0
688.6675,678.0809,752.1898,700,750,16,2,0,2,0,10,10,10.5867,-0.7404,-0.3772,7.5000,0.1000,0.6500,1,,0
676.3299,684.1166,752.1898,700,750,16,2,0,2,0,10,10,-7.7867,4.6658,-0.3772,7.5000,0.1000,0.6500,1,,0
753.0012,682.7118,752.1898,700,750,16,2,0,2,1,10,10,0.8113,-2.3975,-0.3772,7.5000,0.1000,0.6500,1,,0
667.1803,665.2696,752.1898,700,750,16,2,0,2,0,10,10,1.9107,-18.5227,-0.3772,7.5000,0.1000,0.6500,1,,0
640.9602,661.2028,752.1898,700,750,16,2,0,2,0,10,10,-20.2425,-6.2375,-0.3772,7.5000,0.1000,0.6500,1,,0
659.5026,666.1578,752.1898,700,750,16,2,0,2,0,10,10,-6.6552,2.5302,-0.3772,7.5000,0.1000,0.6500,1,,0
647.3776,658.8311,752.1898,700,750,16,2,0,2,0,10,10,-11.4536,-9.4418,-0.3772,7.5000,0.1000,0.6500,1,,0
685.6371,672.6766,752.1898,700,750,16,2,0,2,0,10,10,12.9606,11.2724,-0.3772,7.5000,0.1000,0.6500,1,,0
674.3271,666.3047,752.4527,700,750,16,2,0,4,0,10,10,8.0224,-8.0796,1.3578,5.0000,0.1000,0.6500,2,,0
696.8761,691.9020,752.4527,700,750,16,2,0,4,0,10,10,4.9742,23.4913,1.3578,5.0000,0.1000,0.6500,2,,0
696.8339,682.9801,752.4527,700,750,16,2,0,4,0,10,10,13.8538,-9.4280,1.3578,5.0000,0.1000,0.6500,2,,0
690.7375,703.0636,752.4527,700,750,16,2,0,4,0,10,10,-12.3261,19.0197,1.3578,5.0000,0.1000,0.6500,2,,0
729.7024,707.9643,752.4527,700,750,16,2,0,4,1,10,10,-22.7503,5.0922,1.3578,5.0000,0.1000,0.6500,2,,0
704.3576,701.0420,752.4527,700,750,16,2,0,4,0,10,10,3.3156,-6.4245,1.3578,5.0000,0.1000,0.6500,2,,0
702.1454,710.5167,752.4527,700,750,16,2,0,4,0,10,10,-8.3713,9.5398,1.3578,5.0000,0.1000,0.6500,2,,0
699.6525,706.6788,752.4527,700,750,16,2,0,4,0,10,10,-7.0263,-3.1806,1.3578,5.0000,0.1000,0.6500,2,,0
692.7899,689.0887,758.8223,700,750,16,2,0,2,0,10,10,3.7012,-17.1727,7.5959,7.0000,0.1000,0.6500,3,,0
690.7592,698.6210,758.8223,700,750,16,2,0,2,0,10,10,-7.8618,8.8503,7.5959,7.0000,0.1000,0.6500,3,,0
754.5578,708.2263,758.8223,700,750,16,2,0,2,1,10,10,-4.2645,9.5192,7.5959,7.0000,0.1000,0.6500,3,,0
705.8504,704.6113,758.8223,700,750,16,2,0,2,0,10,10,1.2391,-3.1008,7.5959,7.0000,0.1000,0.6500,3,,0
714.1279,719.7220,758.8223,700,750,16,2,0,2,0,10,10,-5.5941,15.3989,7.5959,7.0000,0.1000,0.6500,3,,0
718.4841,724.5332,758.8223,700,750,16,2,0,2,0,10,10,-6.0490,6.0437,7.5959,7.0000,0.1000,0.6500,3,,0
723.2808,719.0346,758.8223,700,750,16,2,0,2,0,10,10,4.2462,-3.9653,7.5959,7.0000,0.1000,0.6500,3,,0
742.5559,732.7431,758.8223,700,750,16,2,0,2,0,10,10,9.8128,14.8982,7.5959,7.0000,0.1000,0.6500,3,,0
736.6333,731.9456,733.7265,700,750,16,2,0,2,0,10,10,4.6877,1.2489,-20.6847,3.5000,0.1000,0.6500,4,,0
732.8420,736.2860,733.7265,700,750,16,2,0,2,0,10,10,-3.4440,6.3369,-20.6847,3.5000,0.1000,0.6500,4,,0
749.7652,727.2975,733.7265,700,750,16,2,0,2,1,10,10,16.0387,-6.7205,-20.6847,3.5000,0.1000,0.6500,4,,0
748.8632,726.7372,733.7265,700,750,16,2,0,2,0,10,10,22.1260,1.1457,-20.6847,3.5000,0.1000,0.6500,4,,0
721.6888,718.3434,733.7265,700,750,16,2,0,2,0,10,10,3.3454,-6.7227,-20.6847,3.5000,0.1000,0.6500,4,,0
723.1552,723.6560,733.7265,700,750,16,2,0,2,0,10,10,-0.5008,6.4590,-20.6847,3.5000,0.1000,0.6500,4,,0
736.4925,730.4547,733.7265,700,750,16,2,0,2,0,10,10,6.0378,8.2772,-20.6847,3.5000,0.1000,0.6500,4,,0
718.5937,717.8147,733.7265,700,750,16,2,0,2,0,10,10,0.7790,-10.7366,-20.6847,3.5000,0.1000,0.6500,4,,0
695.5799,695.2327,741.0292,700,750,16,2,0,3,0,10,10,0.3472,-21.4686,-0.8340,4.0000,0.1000,0.6500,5,,0
700.6311,705.2431,741.0292,700,750,16,2,0,3,0,10,10,-4.6120,9.7124,-0.8340,4.0000,0.1000,0.6500,5,,0
712.1744,700.9125,741.0292,700,750,16,2,0,3,0,10,10,11.2618,-4.0028,-0.8340,4.0000,0.1000,0.6500,5,,0
746.2230,681.3261,741.0292,700,750,16,2,0,3,1,10,10,5.1938,-19.5294,-0.8340,4.0000,0.1000,0.6500,5,,0
672.0484,691.2436,741.0292,700,750,16,2,0,3,0,10,10,-19.1951,8.7503,-0.8340,4.0000,0.1000,0.6500,5,,0
666.5308,672.1899,741.0292,700,750,16,2,0,3,0,10,10,-5.6591,-19.6010,-0.8340,4.0000,0.1000,0.6500,5,,0
663.7369,662.3470,741.0292,700,750,16,2,0,3,0,10,10,1.3899,-11.5810,-0.8340,4.0000,0.1000,0.6500,5,,0
658.9572,654.2869,741.0292,700,750,16,2,0,3,0,10,10,4.6703,-10.4135,-0.8340,4.0000,0.1000,0.6500,5,,0
680.2800,665.5195,746.8018,700,750,16,2,0,4,0,10,10,14.7605,8.3755,1.2872,3.0000,0.1000,0.6500,6,,0
669.9412,669.6729,746.8018,700,750,16,2,0,4,0,10,10,0.2682,1.9984,1.2872,3.0000,0.1000,0.6500,6,,0
665.2263,675.9026,746.8018,700,750,16,2,0,4,0,10,10,-10.6763,4.3342,1.2872,3.0000,0.1000,0.6500,6,,0
690.4531,687.0932,746.8018,700,750,16,2,0,4,0,10,10,3.3600,9.6845,1.2872,3.0000,0.1000,0.6500,6,,0
751.9629,694.3555,746.8018,700,750,16,2,0,4,1,10,10,5.1611,6.4557,1.2872,3.0000,0.1000,0.6500,6,,0
692.0769,689.0845,746.8018,700,750,16,2,0,4,0,10,10,2.9924,-5.6239,1.2872,3.0000,0.1000,0.6500,6,,0
679.8480,673.6566,746.8018,700,750,16,2,0,4,0,10,10,6.1914,-16.1101,1.2872,3.0000,0.1000,0.6500,6,,0
673.1440,670.1856,746.8018,700,750,16,2,0,4,0,10,10,2.9584,-5.1175,1.2872,3.0000,0.1000,0.6500,6,,0
671.4243,674.7108,755.7933,700,750,16,2,0,4,0,10,10,-3.2865,2.6618,7.3924,4.0000,0.1000,0.6500,7,,0
673.1457,673.4304,755.7933,700,750,16,2,0,4,0,10,10,-0.2846,-2.8610,7.3924,4.0000,0.1000,0.6500,7,,0
684.9266,675.2090,755.7933,700,750,16,2,0,4,0,10,10,9.7177,0.1180,7.3924,4.0000,0.1000,0.6500,7,,0
662.2762,670.6672,755.7933,700,750,16,2,0,4,0,10,10,-8.3909,-6.0912,7.3924,4.0000,0.1000,0.6500,7,,0
752.0587,685.4652,755.7933,700,750,16,2,0,4,1,10,10,-3.7346,12.9647,7.3924,4.0000,0.1000,0.6500,7,,0
691.5043,699.3580,755.7933,700,750,16,2,0,4,0,10,10,-7.8537,12.9843,7.3924,4.0000,0.1000,0.6500,7,,0
691.2133,693.0578,755.7933,700,750,16,2,0,4,0,10,10,-1.8445,-6.3403,7.3924,4.0000,0.1000,0.6500,7,,0
702.3142,692.2724,755.7933,700,750,16,2,0,4,0,10,10,10.0418,-1.2193,7.3924,4.0000,0.1000,0.6500,7,,0
706.7597,710.6076,751.5385,700,750,16,2,0,3,0,10,10,-3.8479,17.8523,-1.3581,7.0000,0.1000,0.6500,8,,0
718.2949,709.9661,751.5385,700,750,16,2,0,3,0,10,10,8.3288,0.0214,-1.3581,7.0000,0.1000,0.6500,8,,0
710.1854,710.5817,751.5385,700,750,16,2,0,3,0,10,10,-0.3962,1.2385,-1.3581,7.0000,0.1000,0.6500,8,,0
736.7003,698.1380,751.5385,700,750,16,2,0,3,1,10,10,-14.8382,-11.7823,-1.3581,7.0000,0.1000,0.6500,8,,0
