observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,transition_self,transition_rules,transition_nodev,transition_nodev_rules,ITI,duration_tones,ISI,trial_n,run,run_n
753.2200,746.7920,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
740.4000,742.8593,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
709.8800,735.4199,715.6863,700,750,160,20,0,2,1,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
732.5900,733.9801,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
720.4200,730.0408,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
745.6800,735.8634,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
720.1200,726.0813,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
737.5200,734.7243,715.6863,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,0,,0
715.5600,725.7194,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
729.8100,722.7033,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
724.1000,732.4796,719.2328,700,750,160,20,0,2,1,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
732.7700,727.2722,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
738.6000,729.1318,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
707.3800,711.2426,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
685.5700,694.9341,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
678.4300,681.3760,719.2328,700,750,160,20,0,2,0,10,10,0.8000,0.1000,0.1000,0.5000,7.5000,0.1000,0.6500,1,,0
696.8700,678.1697,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
688.8100,669.6443,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
676.5000,672.2326,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
698.4600,688.6561,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
671.1400,686.2556,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
687.1700,676.9963,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
714.5900,675.5407,708.9091,700,750,160,20,1,6,1,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
671.8500,682.9218,708.9091,700,750,160,20,1,6,0,10,10,0.8000,0.1000,0.1000,0.5000,3.0000,0.1000,0.6500,2,,0
676.5100,667.9397,704.5300,700,750,160,20,1,4,0,10,10,0.8000,0.1000,0.1000,0.5000,5.5000,0.1000,0.6500,3,,0
