observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
985.6700,976.1864,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
989.3700,994.9344,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1031.4800,1002.9427,1043.0286,1000,1050,16,2,0,2,1,10,10,5.5000,0.1000,0.6500,0,0,0
1026.1900,1026.0796,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1015.3900,1028.3002,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1028.5200,1044.1426,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1036.7800,1034.1217,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1031.3800,1039.2078,1043.0286,1000,1050,16,2,0,2,0,10,10,5.5000,0.1000,0.6500,0,0,0
1032.9400,1044.8665,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1057.4200,1053.7784,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1051.1300,1047.4367,1042.4019,1000,1050,16,2,0,2,1,10,10,4.0000,0.1000,0.6500,1,0,0
1035.7500,1046.8117,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1041.8300,1052.8773,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1060.3400,1043.2247,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1030.0400,1034.1787,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1030.0400,1033.1562,1042.4019,1000,1050,16,2,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,0
1017.1500,1011.6089,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1005.0800,1005.2796,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1022.9100,1009.9388,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1010.0900,1023.5654,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1018.2900,1009.2714,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1018.8600,1016.0315,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1019.7200,1020.9044,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1019.8400,1006.4927,1055.8354,1000,1050,16,2,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,0
1005.6000,1011.2803,1068.3867,1000,1050,16,2,0,3,0,10,10,7.5000,0.1000,0.6500,3,0,0
1040.2800,1029.4899,1068.3867,1000,1050,16,2,0,3,0,10,10,7.5000,0.1000,0.6500,3,0,0
1019.2500,1021.6542,1068.3867,1000,1050,16,2,0,3,0,10,10,7.5000,0.1000,0.6500,3,0,0
1047.0300,1024.9032,1068.3867,1000,1050,16,2,0,3,1,10,10,7.5000,0.1000,0.6500,3,0,0
1020.6400,1023.5710,1068.3867,1000,1050,16,2,0,3,0,10,10,7.5000,0.1000,0.6500,3,0,0
1016.8000,1015.0993,1068.3867,1000,1050,16,2,0,3,0,10,10,7.5000,0.1000,0.6500,3,0,0
