observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,noise_w_std_t_minus_one,noise_w_dev_t_minus_one,ITI,duration_tones,ISI,trial_n,run_n,session_n
1035.6192,1029.7562,1027.0587,1000,1050,40,5,0,2,0,10,10,5.8630,,,10.5000,0.1000,0.6500,0,0,5
1013.3927,1018.0725,1027.0587,1000,1050,40,5,0,2,0,10,10,-4.6797,-10.9398,,10.5000,0.1000,0.6500,0,0,5
1037.3873,1027.6113,1027.0587,1000,1050,40,5,0,2,1,10,10,10.3286,9.9906,,10.5000,0.1000,0.6500,0,0,5
1012.1484,1010.5699,1027.0587,1000,1050,40,5,0,2,0,10,10,1.5785,-16.3511,,10.5000,0.1000,0.6500,0,0,5
1037.0017,1010.0601,1027.0587,1000,1050,40,5,0,2,0,10,10,26.9416,-0.2456,,10.5000,0.1000,0.6500,0,0,5
1003.8414,1001.1287,1027.0587,1000,1050,40,5,0,2,0,10,10,2.7128,-8.6800,,10.5000,0.1000,0.6500,0,0,5
991.3866,989.1395,1027.0587,1000,1050,40,5,0,2,0,10,10,2.2470,-11.9609,,10.5000,0.1000,0.6500,0,0,5
1004.2823,985.6329,1027.0587,1000,1050,40,5,0,2,0,10,10,18.6494,-3.7781,,10.5000,0.1000,0.6500,0,0,5
967.6043,967.3738,1013.1412,1000,1050,40,5,0,2,0,10,10,0.2306,-18.6183,-18.5058,8.0000,0.1000,0.6500,1,0,5
979.5339,973.4119,1013.1412,1000,1050,40,5,0,2,0,10,10,6.1219,5.2225,-18.5058,8.0000,0.1000,0.6500,1,0,5
1008.9289,965.6189,1013.1412,1000,1050,40,5,0,2,1,10,10,-4.2123,-8.4577,-18.5058,8.0000,0.1000,0.6500,1,0,5
964.1028,968.0330,1013.1412,1000,1050,40,5,0,2,0,10,10,-3.9302,1.5546,-18.5058,8.0000,0.1000,0.6500,1,0,5
989.1902,980.1252,1013.1412,1000,1050,40,5,0,2,0,10,10,9.0650,11.2930,-18.5058,8.0000,0.1000,0.6500,1,0,5
997.6157,986.2060,1013.1412,1000,1050,40,5,0,2,0,10,10,11.4097,5.5839,-18.5058,8.0000,0.1000,0.6500,1,0,5
1002.1493,996.0160,1013.1412,1000,1050,40,5,0,2,0,10,10,6.1333,9.4652,-18.5058,8.0000,0.1000,0.6500,1,0,5
986.4597,982.6124,1013.1412,1000,1050,40,5,0,2,0,10,10,3.8472,-13.5032,-18.5058,8.0000,0.1000,0.6500,1,0,5
1005.1081,988.6063,1032.0696,1000,1050,40,5,2,0,0,10,10,16.5018,5.5591,11.5566,9.5000,0.1000,0.6500,2,0,5
957.4763,977.3928,1032.0696,1000,1050,40,5,2,0,0,10,10,-19.9165,-11.4983,11.5566,9.5000,0.1000,0.6500,2,0,5
962.1918,969.0101,1032.0696,1000,1050,40,5,2,0,0,10,10,-6.8183,-8.9480,11.5566,9.5000,0.1000,0.6500,2,0,5
976.9383,977.7516,1032.0696,1000,1050,40,5,2,0,0,10,10,-0.8133,7.9668,11.5566,9.5000,0.1000,0.6500,2,0,5
986.3154,991.7488,1032.0696,1000,1050,40,5,2,0,0,10,10,-5.4334,13.4409,11.5566,9.5000,0.1000,0.6500,2,0,5
993.6773,981.3670,1032.0696,1000,1050,40,5,2,0,0,10,10,12.3104,-10.5881,11.5566,9.5000,0.1000,0.6500,2,0,5
992.8810,986.7714,1032.0696,1000,1050,40,5,2,0,0,10,10,6.1095,4.9386,11.5566,9.5000,0.1000,0.6500,2,0,5
984.4968,986.0151,1032.0696,1000,1050,40,5,2,0,0,10,10,-1.5184,-1.0870,11.5566,9.5000,0.1000,0.6500,2,0,5
1017.5307,1014.2883,1056.6425,1000,1050,40,5,1,5,0,10,10,3.2424,27.9236,20.9868,8.5000,0.1000,0.6500,3,0,5
1013.5873,1009.9098,1056.6425,1000,1050,40,5,1,5,0,10,10,3.6774,-4.0213,20.9868,8.5000,0.1000,0.6500,3,0,5
1010.7600,1011.9209,1056.6425,1000,1050,40,5,1,5,0,10,10,-1.1608,2.2588,20.9868,8.5000,0.1000,0.6500,3,0,5
998.7055,1011.6379,1056.6425,1000,1050,40,5,1,5,0,10,10,-12.9324,0.0151,20.9868,8.5000,0.1000,0.6500,3,0,5
998.2453,1007.4056,1056.6425,1000,1050,40,5,1,5,0,10,10,-9.1602,-3.9414,20.9868,8.5000,0.1000,0.6500,3,0,5
1055.1518,1011.4741,1056.6425,1000,1050,40,5,1,5,1,10,10,-1.4907,4.2537,20.9868,8.5000,0.1000,0.6500,3,0,5
989.8254,1005.8152,1056.6425,1000,1050,40,5,1,5,0,10,10,-15.9898,-5.3720,20.9868,8.5000,0.1000,0.6500,3,0,5
1037.3225,1027.7806,1056.6425,1000,1050,40,5,1,5,0,10,10,9.5419,22.1108,20.9868,8.5000,0.1000,0.6500,3,0,5
1020.9317,1022.9355,1049.6072,1000,1050,40,5,1,4,0,10,10,-2.0038,-4.1506,-5.7068,9.5000,0.1000,0.6500,4,0,5
1034.2163,1027.0959,1049.6072,1000,1050,40,5,1,4,0,10,10,7.1204,4.7338,-5.7068,9.5000,0.1000,0.6500,4,0,5
1042.2910,1015.2367,1049.6072,1000,1050,40,5,1,4,0,10,10,27.0543,-11.1818,-5.7068,9.5000,0.1000,0.6500,4,0,5
1013.6366,1014.6563,1049.6072,1000,1050,40,5,1,4,0,10,10,-1.0196,-0.1995,-5.7068,9.5000,0.1000,0.6500,4,0,5
1039.5404,1016.7510,1049.6072,1000,1050,40,5,1,4,1,10,10,-10.0668,2.4611,-5.7068,9.5000,0.1000,0.6500,4,0,5
1034.0468,1017.5487,1049.6072,1000,1050,40,5,1,4,0,10,10,16.4981,1.2165,-5.7068,9.5000,0.1000,0.6500,4,0,5
1028.4175,1024.3140,1049.6072,1000,1050,40,5,1,4,0,10,10,4.1036,7.2040,-5.7068,9.5000,0.1000,0.6500,4,0,5
1026.4764,1027.5264,1049.6072,1000,1050,40,5,1,4,0,10,10,-1.0500,3.8203,-5.7068,9.5000,0.1000,0.6500,4,0,5
1016.7620,1020.4291,1052.4345,1000,1050,40,5,1,5,0,10,10,-3.6672,-6.4091,2.7488,7.5000,0.1000,0.6500,5,0,5
1058.0394,1042.8640,1052.4345,1000,1050,40,5,1,5,0,10,10,15.1754,22.9456,2.7488,7.5000,0.1000,0.6500,5,0,5
1030.5243,1031.9513,1052.4345,1000,1050,40,5,1,5,0,10,10,-1.4270,-9.8411,2.7488,7.5000,0.1000,0.6500,5,0,5
1047.4640,1038.0976,1052.4345,1000,1050,40,5,1,5,0,10,10,9.3664,6.9451,2.7488,7.5000,0.1000,0.6500,5,0,5
1024.4454,1038.1474,1052.4345,1000,1050,40,5,1,5,0,10,10,-13.7021,1.0023,2.7488,7.5000,0.1000,0.6500,5,0,5
1046.9649,1047.3548,1052.4345,1000,1050,40,5,1,5,1,10,10,-5.4697,10.1610,2.7488,7.5000,0.1000,0.6500,5,0,5
1040.7238,1038.9962,1052.4345,1000,1050,40,5,1,5,0,10,10,1.7276,-7.1747,2.7488,7.5000,0.1000,0.6500,5,0,5
1027.5355,1037.3613,1052.4345,1000,1050,40,5,1,5,0,10,10,-9.8258,-0.6600,2.7488,7.5000,0.1000,0.6500,5,0,5
1057.9742,1045.6988,1043.8813,1000,1050,40,5,0,2,0,10,10,12.2754,9.2715,-8.0663,7.0000,0.1000,0.6500,6,0,5
1061.2394,1044.0958,1043.8813,1000,1050,40,5,0,2,0,10,10,17.1436,-0.4605,-8.0663,7.0000,0.1000,0.6500,6,0,5
1058.6204,1037.9940,1043.8813,1000,1050,40,5,0,2,1,10,10,14.7391,-4.9994,-8.0663,7.0000,0.1000,0.6500,6,0,5
1032.3726,1038.8875,1043.8813,1000,1050,40,5,0,2,0,10,10,-6.5149,1.8433,-8.0663,7.0000,0.1000,0.6500,6,0,5
1043.1462,1034.8456,1043.8813,1000,1050,40,5,0,2,0,10,10,8.3006,-3.0697,-8.0663,7.0000,0.1000,0.6500,6,0,5
1021.8216,1031.1844,1043.8813,1000,1050,40,5,0,2,0,10,10,-9.3628,-2.7901,-8.0663,7.0000,0.1000,0.6500,6,0,5
1029.9805,1024.2386,1043.8813,1000,1050,40,5,0,2,0,10,10,5.7419,-6.1662,-8.0663,7.0000,0.1000,0.6500,6,0,5
1052.5207,1037.8567,1043.8813,1000,1050,40,5,0,2,0,10,10,14.6640,14.2241,-8.0663,7.0000,0.1000,0.6500,6,0,5
1035.0887,1036.3594,1041.7279,1000,1050,40,5,0,3,0,10,10,-1.2706,-0.5509,-3.3771,10.5000,0.1000,0.6500,7,0,5
1017.4923,1032.4397,1041.7279,1000,1050,40,5,0,3,0,10,10,-14.9474,-3.0107,-3.3771,10.5000,0.1000,0.6500,7,0,5
1046.3906,1031.1988,1041.7279,1000,1050,40,5,0,3,0,10,10,15.1919,-0.4299,-3.3771,10.5000,0.1000,0.6500,7,0,5
1035.8373,1037.0857,1041.7279,1000,1050,40,5,0,3,1,10,10,-5.8906,6.6669,-3.3771,10.5000,0.1000,0.6500,7,0,5
1047.0928,1030.3528,1041.7279,1000,1050,40,5,0,3,0,10,10,16.7400,-5.8057,-3.3771,10.5000,0.1000,0.6500,7,0,5
1010.0372,1034.8137,1041.7279,1000,1050,40,5,0,3,0,10,10,-24.7765,5.2197,-3.3771,10.5000,0.1000,0.6500,7,0,5
1044.8531,1043.0352,1041.7279,1000,1050,40,5,0,3,0,10,10,1.8178,9.0918,-3.3771,10.5000,0.1000,0.6500,7,0,5
1035.3607,1036.3251,1041.7279,1000,1050,40,5,0,3,0,10,10,-0.9643,-5.6343,-3.3771,10.5000,0.1000,0.6500,7,0,5
1018.4505,1028.3429,1034.8703,1000,1050,40,5,0,2,0,10,10,-9.8924,-7.0740,-8.5120,10.5000,0.1000,0.6500,8,0,5
1009.0340,1011.6888,1034.8703,1000,1050,40,5,0,2,0,10,10,-2.6548,-15.9455,-8.5120,10.5000,0.1000,0.6500,8,0,5
1033.3642,1017.5275,1034.8703,1000,1050,40,5,0,2,1,10,10,-1.5061,6.1309,-8.5120,10.5000,0.1000,0.6500,8,0,5
997.3807,1012.6922,1034.8703,1000,1050,40,5,0,2,0,10,10,-15.3114,-4.3971,-8.5120,10.5000,0.1000,0.6500,8,0,5
1021.9277,1030.4964,1034.8703,1000,1050,40,5,0,2,0,10,10,-8.5687,18.1216,-8.5120,10.5000,0.1000,0.6500,8,0,5
1056.2188,1042.3703,1034.8703,1000,1050,40,5,0,2,0,10,10,13.8485,12.6363,-8.5120,10.5000,0.1000,0.6500,8,0,5
