observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1407.0448,1399.3012,1392.5879,1000,1050,240,240,0,3,0,10,10,7.7437,4.0000,0.1000,0.6500,0,0,1
1410.8493,1398.3565,1404.8242,1000,1050,240,240,0,3,0,10,10,12.4929,4.0000,0.1000,0.6500,0,0,1
1413.5956,1396.9745,1409.3292,1000,1050,240,240,0,3,0,10,10,16.6211,4.0000,0.1000,0.6500,0,0,1
1442.8648,1400.3919,1444.7308,1000,1050,240,240,0,3,1,10,10,-1.8660,4.0000,0.1000,0.6500,0,0,1
1400.3122,1394.5026,1450.3908,1000,1050,240,240,0,3,0,10,10,5.8096,4.0000,0.1000,0.6500,0,0,1
1436.3944,1416.7301,1450.3686,1000,1050,240,240,0,3,0,10,10,19.6643,4.0000,0.1000,0.6500,0,0,1
1428.6094,1429.0084,1466.9473,1000,1050,240,240,0,3,0,10,10,-0.3990,4.0000,0.1000,0.6500,0,0,1
1415.9650,1433.6273,1471.5310,1000,1050,240,240,0,3,0,10,10,-17.6623,4.0000,0.1000,0.6500,0,0,1
1555.2870,1555.8007,1487.2314,1000,1050,240,240,0,4,0,10,10,-0.5138,3.0000,0.1000,0.6500,1,0,1
1552.7968,1554.3280,1490.9769,1000,1050,240,240,0,4,0,10,10,-1.5311,3.0000,0.1000,0.6500,1,0,1
1567.0511,1561.0117,1492.5696,1000,1050,240,240,0,4,0,10,10,6.0393,3.0000,0.1000,0.6500,1,0,1
1576.1754,1557.8649,1505.7972,1000,1050,240,240,0,4,0,10,10,18.3105,3.0000,0.1000,0.6500,1,0,1
1524.2038,1579.1104,1515.6597,1000,1050,240,240,0,4,1,10,10,8.5442,3.0000,0.1000,0.6500,1,0,1
1593.8366,1588.3618,1513.8325,1000,1050,240,240,0,4,0,10,10,5.4748,3.0000,0.1000,0.6500,1,0,1
1622.3397,1609.0976,1509.9107,1000,1050,240,240,0,4,0,10,10,13.2421,3.0000,0.1000,0.6500,1,0,1
1598.2546,1607.1294,1500.6223,1000,1050,240,240,0,4,0,10,10,-8.8748,3.0000,0.1000,0.6500,1,0,1
1401.4266,1424.9375,1663.2808,1000,1050,240,240,2,0,0,10,10,-23.5108,3.5000,0.1000,0.6500,2,0,1
1433.0867,1427.7057,1669.3439,1000,1050,240,240,2,0,0,10,10,5.3810,3.5000,0.1000,0.6500,2,0,1
1420.0002,1426.7403,1668.8307,1000,1050,240,240,2,0,0,10,10,-6.7401,3.5000,0.1000,0.6500,2,0,1
1410.6387,1429.2211,1665.5035,1000,1050,240,240,2,0,0,10,10,-18.5824,3.5000,0.1000,0.6500,2,0,1
1415.4087,1422.5566,1690.5170,1000,1050,240,240,2,0,0,10,10,-7.1480,3.5000,0.1000,0.6500,2,0,1
1405.5584,1408.0338,1675.2831,1000,1050,240,240,2,0,0,10,10,-2.4754,3.5000,0.1000,0.6500,2,0,1
1407.0916,1407.6809,1662.6731,1000,1050,240,240,2,0,0,10,10,-0.5892,3.5000,0.1000,0.6500,2,0,1
1406.3350,1411.2793,1661.8491,1000,1050,240,240,2,0,0,10,10,-4.9443,3.5000,0.1000,0.6500,2,0,1
1592.0688,1606.5192,1453.6123,1000,1050,240,240,1,5,0,10,10,-14.4505,4.0000,0.1000,0.6500,3,0,1
1587.1402,1599.2036,1447.3160,1000,1050,240,240,1,5,0,10,10,-12.0634,4.0000,0.1000,0.6500,3,0,1
1592.6356,1592.6851,1444.3427,1000,1050,240,240,1,5,0,10,10,-0.0495,4.0000,0.1000,0.6500,3,0,1
1610.9662,1600.1082,1442.4891,1000,1050,240,240,1,5,0,10,10,10.8580,4.0000,0.1000,0.6500,3,0,1
1569.1588,1593.2925,1450.4426,1000,1050,240,240,1,5,0,10,10,-24.1337,4.0000,0.1000,0.6500,3,0,1
1420.4790,1594.3151,1440.9396,1000,1050,240,240,1,5,1,10,10,-20.4606,4.0000,0.1000,0.6500,3,0,1
1598.1743,1602.3966,1430.1759,1000,1050,240,240,1,5,0,10,10,-4.2223,4.0000,0.1000,0.6500,3,0,1
1597.8832,1607.4210,1420.0250,1000,1050,240,240,1,5,0,10,10,-9.5379,4.0000,0.1000,0.6500,3,0,1
1593.4984,1583.9991,1476.0076,1000,1050,240,240,1,6,0,10,10,9.4993,3.5000,0.1000,0.6500,4,0,1
1553.2572,1578.0429,1462.2864,1000,1050,240,240,1,6,0,10,10,-24.7857,3.5000,0.1000,0.6500,4,0,1
1574.9712,1561.5739,1460.7302,1000,1050,240,240,1,6,0,10,10,13.3973,3.5000,0.1000,0.6500,4,0,1
1556.6461,1551.5738,1451.4462,1000,1050,240,240,1,6,0,10,10,5.0723,3.5000,0.1000,0.6500,4,0,1
1543.5425,1557.6349,1455.7598,1000,1050,240,240,1,6,0,10,10,-14.0924,3.5000,0.1000,0.6500,4,0,1
1562.8594,1554.7003,1460.9791,1000,1050,240,240,1,6,0,10,10,8.1592,3.5000,0.1000,0.6500,4,0,1
1468.3467,1553.2972,1480.1978,1000,1050,240,240,1,6,1,10,10,-11.8511,3.5000,0.1000,0.6500,4,0,1
1561.2582,1559.3919,1468.4762,1000,1050,240,240,1,6,0,10,10,1.8663,3.5000,0.1000,0.6500,4,0,1
1711.4016,1701.2904,1296.3094,1000,1050,240,240,1,5,0,10,10,10.1111,7.5000,0.1000,0.6500,5,0,1
1701.5771,1706.1899,1291.6058,1000,1050,240,240,1,5,0,10,10,-4.6128,7.5000,0.1000,0.6500,5,0,1
1720.5540,1709.1372,1284.4962,1000,1050,240,240,1,5,0,10,10,11.4168,7.5000,0.1000,0.6500,5,0,1
1689.3282,1694.1620,1273.8836,1000,1050,240,240,1,5,0,10,10,-4.8338,7.5000,0.1000,0.6500,5,0,1
1702.5458,1702.9302,1253.9450,1000,1050,240,240,1,5,0,10,10,-0.3844,7.5000,0.1000,0.6500,5,0,1
1260.3677,1703.5146,1248.0855,1000,1050,240,240,1,5,1,10,10,12.2822,7.5000,0.1000,0.6500,5,0,1
1731.8710,1714.4107,1248.4206,1000,1050,240,240,1,5,0,10,10,17.4603,7.5000,0.1000,0.6500,5,0,1
1714.9718,1716.2269,1251.2201,1000,1050,240,240,1,5,0,10,10,-1.2551,7.5000,0.1000,0.6500,5,0,1
1355.4467,1368.3736,1645.6329,1000,1050,240,240,1,4,0,10,10,-12.9270,6.0000,0.1000,0.6500,6,0,1
1370.4844,1376.7040,1638.4900,1000,1050,240,240,1,4,0,10,10,-6.2196,6.0000,0.1000,0.6500,6,0,1
1378.8181,1375.3212,1640.8703,1000,1050,240,240,1,4,0,10,10,3.4969,6.0000,0.1000,0.6500,6,0,1
1385.4184,1392.6121,1632.3409,1000,1050,240,240,1,4,0,10,10,-7.1937,6.0000,0.1000,0.6500,6,0,1
1640.0819,1400.8202,1637.9245,1000,1050,240,240,1,4,1,10,10,2.1574,6.0000,0.1000,0.6500,6,0,1
1396.2725,1406.7825,1645.5995,1000,1050,240,240,1,4,0,10,10,-10.5100,6.0000,0.1000,0.6500,6,0,1
1404.1050,1406.2976,1650.3049,1000,1050,240,240,1,4,0,10,10,-2.1926,6.0000,0.1000,0.6500,6,0,1
1411.7376,1404.3451,1650.0794,1000,1050,240,240,1,4,0,10,10,7.3925,6.0000,0.1000,0.6500,6,0,1
1353.0464,1356.2288,1262.3133,1000,1050,240,240,1,5,0,10,10,-3.1824,6.0000,0.1000,0.6500,7,0,1
1365.9496,1349.4994,1257.0364,1000,1050,240,240,1,5,0,10,10,16.4501,6.0000,0.1000,0.6500,7,0,1
1350.0430,1352.6762,1245.9796,1000,1050,240,240,1,5,0,10,10,-2.6332,6.0000,0.1000,0.6500,7,0,1
1367.4779,1360.7955,1248.8636,1000,1050,240,240,1,5,0,10,10,6.6824,6.0000,0.1000,0.6500,7,0,1
1360.5016,1352.4518,1242.8759,1000,1050,240,240,1,5,0,10,10,8.0498,6.0000,0.1000,0.6500,7,0,1
1279.4841,1362.8875,1271.2918,1000,1050,240,240,1,5,1,10,10,8.1923,6.0000,0.1000,0.6500,7,0,1
1353.4431,1364.0000,1282.3515,1000,1050,240,240,1,5,0,10,10,-10.5569,6.0000,0.1000,0.6500,7,0,1
1385.4553,1396.2349,1262.1867,1000,1050,240,240,1,5,0,10,10,-10.7796,6.0000,0.1000,0.6500,7,0,1
1772.3038,1741.8516,1406.4200,1000,1050,240,240,2,0,0,10,10,30.4523,5.5000,0.1000,0.6500,8,0,1
1763.9691,1748.2342,1412.0024,1000,1050,240,240,2,0,0,10,10,15.7349,5.5000,0.1000,0.6500,8,0,1
1744.5145,1752.5642,1427.5653,1000,1050,240,240,2,0,0,10,10,-8.0496,5.5000,0.1000,0.6500,8,0,1
1741.6539,1744.0491,1436.4703,1000,1050,240,240,2,0,0,10,10,-2.3952,5.5000,0.1000,0.6500,8,0,1
1724.0881,1729.4609,1423.3312,1000,1050,240,240,2,0,0,10,10,-5.3728,5.5000,0.1000,0.6500,8,0,1
1733.9617,1732.4070,1424.9259,1000,1050,240,240,2,0,0,10,10,1.5547,5.5000,0.1000,0.6500,8,0,1
1736.1347,1736.7463,1425.7004,1000,1050,240,240,2,0,0,10,10,-0.6116,5.5000,0.1000,0.6500,8,0,1
1760.1033,1753.3553,1438.5560,1000,1050,240,240,2,0,0,10,10,6.7480,5.5000,0.1000,0.6500,8,0,1
1469.9747,1473.2393,1555.1914,1000,1050,240,240,0,2,0,10,10,-3.2647,3.0000,0.1000,0.6500,9,0,1
1470.3903,1468.6455,1544.1230,1000,1050,240,240,0,2,0,10,10,1.7447,3.0000,0.1000,0.6500,9,0,1
1524.6754,1459.3010,1534.4105,1000,1050,240,240,0,2,1,10,10,-9.7351,3.0000,0.1000,0.6500,9,0,1
1457.8348,1455.8290,1544.8024,1000,1050,240,240,0,2,0,10,10,2.0059,3.0000,0.1000,0.6500,9,0,1
1449.0837,1448.0165,1542.5890,1000,1050,240,240,0,2,0,10,10,1.0672,3.0000,0.1000,0.6500,9,0,1
