observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
-0.5112,644.6698,-0.5071,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5040,647.0034,-0.5027,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5060,646.3386,-0.5005,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5100,645.0517,-0.5129,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5151,643.4088,-0.5099,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5062,646.2712,-0.5064,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5051,646.6433,-0.4976,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5120,644.3970,-0.5125,-0.5302,-0.6000,-0.4995,40,5,2,2,,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0
-0.5063,646.2451,-0.5125,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.5160,643.1172,-0.5106,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.5225,641.0131,-0.5198,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.5040,647.0038,-0.5077,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.5386,635.8539,-0.4929,-0.5367,-0.6000,-0.4995,40,5,2,0,4,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.4748,656.5057,-0.4824,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.4671,659.0507,-0.4779,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.4725,657.2578,-0.4689,-0.5367,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,1,0,0
-0.4612,660.9944,-0.4689,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4585,661.8786,-0.4639,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4777,655.5513,-0.4814,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.5111,644.7023,-0.4639,-0.5182,-0.6000,-0.4995,40,5,2,0,3,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4662,659.3440,-0.4688,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4505,664.5054,-0.4549,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4706,657.9031,-0.4746,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4656,659.5251,-0.4667,-0.5182,-0.6000,-0.4995,40,5,2,0,3,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,2,0,0
-0.4597,661.4734,-0.4667,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4763,656.0317,-0.4854,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4597,661.4714,-0.4630,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4389,668.3672,-0.4513,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.5787,623.0961,-0.4768,-0.5803,-0.6000,-0.4995,40,5,2,1,4,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4866,652.6605,-0.4835,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4930,650.5730,-0.4919,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.5007,648.0776,-0.4957,-0.5803,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,3,0,0
-0.4936,650.3773,-0.4957,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.4978,649.0043,-0.4965,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.4892,651.8141,-0.4892,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.4727,657.2208,-0.4794,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.5643,627.6467,-0.4968,-0.5641,-0.6000,-0.4995,40,5,2,1,4,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.5024,647.5014,-0.5028,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.5000,648.3002,-0.4995,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.5115,644.5745,-0.5097,-0.5641,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,4,0,0
-0.5064,646.2179,-0.5097,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4994,648.4974,-0.5025,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4938,650.3154,-0.4937,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4920,650.9091,-0.4862,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4877,652.3071,-0.4744,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.5085,645.5423,-0.4803,-0.5120,-0.6000,-0.4995,40,5,2,1,5,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4755,656.2980,-0.4800,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4766,655.9305,-0.4759,-0.5120,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,5,0,0
-0.4792,655.0624,-0.4759,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4866,652.6581,-0.4855,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4933,650.4734,-0.4940,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4961,649.5518,-0.4978,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.5705,625.6680,-0.4826,-0.5674,-0.6000,-0.4995,40,5,2,1,4,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4930,650.5603,-0.4836,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4684,658.6112,-0.4792,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4687,658.5301,-0.4743,-0.5674,-0.6000,-0.4995,40,5,2,1,4,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,6,0,0
-0.4761,656.0965,-0.4743,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.4608,661.1161,-0.4604,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.4722,657.3557,-0.4727,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.4906,651.3625,-0.4878,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.5145,643.5874,-0.5138,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.5798,622.7430,-0.5121,-0.5763,-0.6000,-0.4995,40,5,2,1,5,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.5224,641.0560,-0.5186,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.5154,643.2874,-0.5181,-0.5763,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,7,0,0
-0.5181,642.4416,-0.5181,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5149,643.4487,-0.5205,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5171,642.7624,-0.5139,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5124,644.2858,-0.5097,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5274,639.4290,-0.5216,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5295,638.7686,-0.5315,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5366,636.4756,-0.5396,-0.5364,-0.6000,-0.4995,40,5,2,1,6,1,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
-0.5399,635.4105,-0.5421,-0.5364,-0.6000,-0.4995,40,5,2,1,6,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,8,0,0
