observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n,state_std_hz,state_dev_hz,diff_std,diff_dev
-0.4558,662.7852,-0.4017,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,680.8112,629.1755,-18.0260,
-0.4333,670.2277,-0.4163,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,675.9088,629.1755,-5.6810,
-0.4669,659.1180,-0.4617,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,660.8196,629.1755,-1.7016,
-0.4304,671.2129,-0.4418,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,667.3992,629.1755,3.8137,
-0.4865,652.6946,-0.4946,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,650.0352,629.1755,2.6594,
-0.4513,664.2683,-0.4723,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,657.3498,629.1755,6.9186,
-0.4620,660.7244,-0.4606,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,661.1953,629.1755,-0.4709,
-0.4395,668.1710,-0.4621,-0.5595,-0.6000,-0.5082,16,2,0.9000,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,660.6773,629.1755,7.4938,
-0.4854,653.0623,-0.4621,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,660.6773,628.6930,-7.6150,
-0.4948,649.9973,-0.4743,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,656.6721,628.6930,-6.6748,
-0.5536,631.0532,-0.4541,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,1,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,663.3297,628.6930,,2.3602
-0.3529,697.4187,-0.3911,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,684.3831,628.6930,13.0356,
-0.4457,666.1104,-0.4499,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,664.7055,628.6930,1.4049,
-0.4925,650.7286,-0.4550,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,663.0313,628.6930,-12.3027,
-0.4114,677.5454,-0.4173,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,675.5637,628.6930,1.9816,
-0.3787,688.5871,-0.4103,-0.5610,-0.6000,-0.5082,16,2,0.9000,0,2,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,677.9115,628.6930,10.6756,
-0.3921,684.0489,-0.4103,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,677.9115,631.6757,6.1374,
-0.4742,656.7257,-0.4563,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,662.5925,631.6757,-5.8668,
-0.5248,640.2688,-0.5220,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,641.1646,631.6757,-0.8958,
-0.5545,630.7539,-0.4978,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,1,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,648.9981,631.6757,,-0.9218
-0.5519,631.6023,-0.5406,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,635.2076,631.6757,-3.6053,
-0.5101,645.0096,-0.5190,-0.5516,-0.6000,-0.5082,16,2,0.9000,0,3,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,2,0,0,642.1277,631.6757,2.8819,
