observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
0.0343,840.2339,-0.1974,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
-0.0929,791.0669,-0.2213,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
-0.0943,790.5090,-0.1669,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
0.2621,934.3653,-0.1295,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
-0.2054,749.4325,-0.1955,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
0.1300,878.8475,-0.1690,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,1,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
0.2543,930.9976,0.0352,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
0.2916,947.1536,0.2344,-0.1415,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,0,0,0
0.5230,1052.3992,0.2344,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.1146,872.5374,-0.0337,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.3455,970.8695,0.0350,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
-0.1605,765.8114,-0.0543,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.4997,1041.4006,0.1435,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
-0.7419,573.1225,-0.0772,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,1,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.1156,872.9547,-0.0985,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.2526,930.2713,0.2857,-0.3204,-0.6000,-0.3205,16,2,0.5000,1,5,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,1,0,0
0.2566,932.0188,0.2857,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
0.1868,902.3990,0.1282,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
0.7898,1185.4743,0.5329,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
0.2544,931.0803,0.4932,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
-0.4588,661.7798,0.8806,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,1,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
1.0014,1300.7689,0.5283,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
0.6845,1131.3633,0.4557,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
0.2166,914.9513,0.2400,-0.4585,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,2,0,0
-0.2101,747.7279,0.2400,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
-0.3190,709.1043,0.0638,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
0.0767,857.1630,-0.2455,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
-0.3889,685.1231,-0.4230,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
-0.0746,797.9857,-0.5071,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,1,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
-0.5410,635.0566,-0.3041,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
0.1075,869.6438,-0.4014,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
0.0582,849.7554,-0.3496,-0.0723,-0.6000,-0.3205,16,2,0.5000,1,4,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,3,0,0
-0.3123,711.4494,-0.3496,-0.3345,-0.6000,-0.3205,16,2,0.5000,1,6,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,4,0,0
-0.7121,582.0070,-0.5543,-0.3345,-0.6000,-0.3205,16,2,0.5000,1,6,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,4,0,0
-0.2430,735.8989,-0.3638,-0.3345,-0.6000,-0.3205,16,2,0.5000,1,6,0,0.1740,0.4330,0.2500,5,0.1000,0.6500,4,0,0
