observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
-0.6866,589.7095,-0.6836,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.6601,597.7942,-0.6647,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.5002,648.2360,-0.6466,-0.5017,-0.6000,-0.5498,16,2,1,0,2,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.6386,604.3852,-0.6425,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.6329,606.1528,-0.6365,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.6289,607.3849,-0.6202,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.6037,615.2412,-0.6056,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.5905,619.3661,-0.5880,-0.5017,-0.6000,-0.5498,16,2,1,0,2,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,0,0,0
-0.5925,618.7432,-0.5880,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5949,617.9793,-0.5957,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.6085,613.7386,-0.6096,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.6121,612.6108,-0.6064,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5574,629.8374,-0.5981,-0.5531,-0.6000,-0.5498,16,2,1,0,4,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5808,622.4172,-0.5753,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5871,620.4366,-0.5821,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5612,628.6310,-0.5642,-0.5531,-0.6000,-0.5498,16,2,1,0,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,1,0,0
-0.5621,628.3326,-0.5642,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.6046,614.9550,-0.5972,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.6154,611.5932,-0.6086,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5887,619.9335,-0.5933,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5813,622.2652,-0.5799,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5497,632.2900,-0.5567,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5877,620.2485,-0.5468,-0.5873,-0.6000,-0.5498,16,2,1,1,6,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5679,626.5036,-0.5566,-0.5873,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,2,0,0
-0.5485,632.6834,-0.5566,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.5687,626.2533,-0.5752,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.5993,616.6020,-0.5926,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.5920,618.9048,-0.5952,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.5964,617.5130,-0.6032,-0.5965,-0.6000,-0.5498,16,2,1,1,4,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.6288,607.4157,-0.6267,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.6373,604.7951,-0.6363,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.6471,601.7752,-0.6385,-0.5965,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,3,0,0
-0.6289,607.4027,-0.6385,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6477,601.6074,-0.6463,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6461,602.0710,-0.6474,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6203,610.0623,-0.6189,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6136,612.1618,-0.6178,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.5477,632.9280,-0.6219,-0.5489,-0.6000,-0.5498,16,2,1,1,5,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6289,607.3875,-0.6336,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6156,611.5155,-0.6198,-0.5489,-0.6000,-0.5498,16,2,1,1,5,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,4,0,0
-0.6193,610.3807,-0.6198,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6231,609.1986,-0.6205,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6180,610.7651,-0.6247,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6508,600.6518,-0.6485,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6427,603.1287,-0.6362,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6290,607.3761,-0.6287,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.5456,633.6118,-0.6332,-0.5478,-0.6000,-0.5498,16,2,1,1,6,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6669,595.6958,-0.6650,-0.5478,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,5,0,0
-0.6607,597.6096,-0.6650,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6719,594.1756,-0.6780,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6774,592.5018,-0.6767,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6774,592.5192,-0.6834,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.5234,640.7328,-0.6933,-0.5169,-0.6000,-0.5498,16,2,1,1,4,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6646,596.4133,-0.6633,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6823,591.0218,-0.6831,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6617,597.3019,-0.6526,-0.5169,-0.6000,-0.5498,16,2,1,1,4,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,6,0,0
-0.6523,600.1686,-0.6526,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6461,602.0785,-0.6404,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6094,613.4662,-0.6065,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6332,606.0677,-0.6354,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6549,599.3805,-0.6594,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6137,612.1138,-0.6227,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.5010,647.9551,-0.6303,-0.4935,-0.6000,-0.5498,16,2,1,1,6,1,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6345,605.6762,-0.6309,-0.4935,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,7,0,0
-0.6287,607.4498,-0.6309,-0.5267,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,8,0,0
-0.6513,600.4931,-0.6509,-0.5267,-0.6000,-0.5498,16,2,1,1,6,0,0.0174,0.0433,0.0050,6,0.1000,0.6500,8,0,0
