observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n,state_std_hz,state_dev_hz,diff_std,diff_dev
-0.4826,653.9597,-0.4955,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,649.7437,689.9699,4.2161,-36.0101
-0.5085,645.5286,-0.4910,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,651.2164,689.9699,-5.6878,-44.4413
-0.4670,659.0652,-0.4919,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,650.9334,689.9699,8.1318,-30.9047
-0.4867,652.6329,-0.5173,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,642.6756,689.9699,9.9573,-37.3370
-0.4857,652.9617,-0.4828,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,653.8816,689.9699,-0.9200,-37.0082
-0.4789,655.1881,-0.4798,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,654.8886,689.9699,0.2995,-34.7818
-0.5955,617.7993,-0.5639,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,627.7830,689.9699,-9.9837,-72.1706
-0.5615,628.5262,-0.5515,-0.3747,-0.6000,-0.4980,16,2,1,2,,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,0,0,0,631.7039,689.9699,-3.1776,-61.4437
-0.5680,626.4742,-0.5515,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,631.7039,689.5676,-5.2296,-63.0934
-0.5917,618.9982,-0.5739,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,624.6188,689.5676,-5.6207,-70.5695
-0.6225,609.3828,-0.6372,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,604.8410,689.5676,4.5418,-80.1848
-0.6441,602.7136,-0.6314,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,606.6331,689.5676,-3.9195,-86.8540
-0.3913,684.3170,-0.6320,-0.3759,-0.6000,-0.4980,16,2,1,0,4,1,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,606.4338,689.5676,77.8833,-5.2506
-0.6741,593.5260,-0.6755,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,593.0731,689.5676,0.4529,-96.0417
-0.6975,586.4290,-0.6684,-0.3759,-0.6000,-0.4980,16,2,1,0,4,0,0.0348,0.0866,0.0200,6,0.1000,0.6500,1,0,0,595.2357,689.5676,-8.8067,-103.1386
