observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n,state_std_hz,state_dev_hz,diff_std,diff_dev
-0.6071,612.4453,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0050,6,0.1000,0.6500,0,0,0,614.1642,633.1820,-1.7189,
-0.5953,615.5164,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0051,6,0.1000,0.6500,0,0,0,617.8636,633.1820,-2.3471,
-0.5984,618.1365,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0051,6,0.1000,0.6500,0,0,0,616.9015,633.1820,1.2349,
-0.6048,613.3818,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0052,6,0.1000,0.6500,0,0,0,614.8903,633.1820,-1.5084,
-0.6006,614.9374,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0052,6,0.1000,0.6500,0,0,0,616.1997,633.1820,-1.2623,
-0.6008,634.2883,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,1,0.0111,0.0300,0.0053,6,0.1000,0.6500,0,0,0,616.1572,633.1820,,1.1063
-0.6094,616.0378,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0053,6,0.1000,0.6500,0,0,0,613.4644,633.1820,2.5734,
-0.5900,618.6360,,-0.5469,-0.6000,-0.4995,40,5,2,1,5,0,0.0111,0.0300,0.0054,6,0.1000,0.6500,0,0,0,619.5373,633.1820,-0.9013,
-0.5900,618.4121,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0054,6,0.1000,0.6500,1,0,0,619.5373,657.5997,-1.1252,
-0.5991,617.6210,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0055,6,0.1000,0.6500,1,0,0,616.6722,657.5997,0.9488,
-0.5849,622.4105,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0055,6,0.1000,0.6500,1,0,0,621.1288,657.5997,1.2817,
-0.5824,620.6496,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0056,6,0.1000,0.6500,1,0,0,621.9367,657.5997,-1.2871,
-0.5878,654.5138,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,1,0.0111,0.0300,0.0056,6,0.1000,0.6500,1,0,0,620.2221,657.5997,,-3.0859
-0.5803,621.7180,,-0.4715,-0.6000,-0.4995,40,5,2,0,4,0,0.0111,0.0300,0.0057,6,0.1000,0.6500,1,0,0,622.6009,657.5997,-0.8829,
